mean_a,mean_b,mean_c,mean_flux,std_a,std_b,std_c,std_flux,rms_a,rms_b,rms_c,rms_flux,peak2peak_a,peak2peak_b,peak2peak_c,peak2peak_flux,skewness_a,skewness_b,skewness_c,skewness_flux,kurtosis_a,kurtosis_b,kurtosis_c,kurtosis_flux,crest_factor_a,crest_factor_b,crest_factor_c,crest_factor_flux,form_fatcor_a,form_fatcor_b,form_fatcor_c,form_fatcor_flux,clearance_factor_a,clearance_factor_b,clearance_factor_c,clearance_factor_flux,zcr_a,zcr_b,zcr_c,zcr_flux,harmonic_mag_a_3rd,harmonic_mag_a_5th,harmonic_mag_a_7th,harmonic_mag_b_3rd,harmonic_mag_b_5th,harmonic_mag_b_7th,harmonic_mag_c_3rd,harmonic_mag_c_5th,harmonic_mag_c_7th,harmonic_mag_flux_3rd,harmonic_mag_flux_5th,harmonic_mag_flux_7th,THD_a,THD_b,THD_c,THD_flux,spectral_centroid_a,spectral_centroid_b,spectral_centroid_c,spectral_centroid_flux,spectral_spread_a,spectral_spread_b,spectral_spread_c,spectral_spread_flux,sideband_ratio_a,sideband_ratio_b,sideband_ratio_c,fund_freq,phase_imbalance,park_vector_mean,park_vector_std,flux_current_phase_angle,negative_sequence_current,class
1.6248976000000002,1.6880088,1.6822963999999998,1.675461,0.1120725568292451,0.7659239826004612,0.7487397508794515,0.7449787926372285,1.6287579526989269,1.853648633371492,1.8413941435770886,1.8336201798627763,0.712,2.1999999999999997,2.28,2.2199999999999998,-0.048259776504587085,-0.009352386816521379,-0.0006281390709864871,-0.012005510706333163,2.4162651424674704,1.4720868319564204,1.5054948051436763,1.5204529004614258,1.2082826651676104,1.4997448545270535,1.5314483375741998,1.5161264205807596,1.0023757513697642,1.0981273518073438,1.094571767244517,1.094397410541204,1.212602601565051,1.7460884071703664,1.7727745773265897,1.7550088717156498,0.0,0.0,0.0,0.0,0.028212092583521153,0.007118446826073803,0.001065816876021325,0.021367292871952992,0.02856798617966448,0.014761941808302367,0.018745318452280002,0.019562413801847048,0.0167455425352728,0.010783255206692955,0.03976341488389481,0.017977019176511715,0.22155434813993316,0.03709811644831812,0.030882671705470977,0.043635961151203384,1530.274134596928,1522.5910300666612,1549.2332864970595,1531.1122203035602,1530.274134596928,1522.5910300666612,1549.2332864970595,1531.1122203035602,0.006317615173191843,0.0019759406713075888,0.002034523681964584,90.0,0.12672751597567145,0.7716742548937005,0.07130208309897039,3.0881661263274314,2264.554766550892,0
1.6247948,1.6881346,1.6819460000000002,1.6756062000000003,0.11119053184945461,0.7647282290349494,0.7490908336670598,0.7447440919681904,1.628594939351096,1.8532694601703228,1.8412168324236013,1.8336575198220633,0.6799999999999999,2.28,2.2399999999999998,2.1999999999999997,-0.04466079514145868,-0.0115507734826416,-0.001462901846160744,-0.012019877955982947,2.420472757716869,1.5146883089940275,1.5083123337563238,1.4691320205661007,1.198579188007156,1.5216351753515815,1.52073343600403,1.5160955467135264,1.0023388426348334,1.0978209084573722,1.0946943792628308,1.0943248597564648,1.2027974959510912,1.771228785752681,1.7607627211277002,1.754287135699039,0.0,0.0,0.0,0.0,0.028180328446743504,0.007019598397840458,0.0008736325515311571,0.010249830411825886,0.02625984945786479,0.016490520615107584,0.010897588878574513,0.0381998899120443,0.016137623628982963,0.01957266594916334,0.02268082370543407,0.016041093285569952,0.22152521046465837,0.03194957160490636,0.04085976106802506,0.033499990923193425,1532.8496931733607,1521.7729516068484,1548.452566365925,1526.7580666763797,1532.8496931733607,1521.7729516068484,1548.452566365925,1526.7580666763797,0.006169212212700637,0.001976932544309692,0.00196352696909711,90.0,0.1266228210857862,0.7716660922887156,0.0719776386469912,0.4745672744656373,2227.354936058208,0
1.6247712800000003,1.6873882000000004,1.6810211999999998,1.6748054,0.11193748401301287,0.7644476767580886,0.7478355308158063,0.7436356608789217,1.6286226427997372,1.8524738022439076,1.8398614773944262,1.83247568169403,0.72,2.28,2.2199999999999998,2.2199999999999998,-0.048600338492083735,-0.010618696798076872,-0.002037478625602837,-0.011807157850299997,2.3568252176710343,1.504334327300191,1.4779033680936864,1.5131286337305578,1.2231194308925897,1.5222887344393883,1.5109833181229373,1.5170733384194393,1.0023704030512757,1.0978349867824766,1.0944903475306715,1.0941424488445224,1.227482424804198,1.7718682286214393,1.7486367815237052,1.755310557215883,0.0,0.0,0.0,0.0,0.028197009716725393,0.00721716036071712,0.0009648506479885496,0.01741376611629057,0.03760798398612473,0.018082366830078786,0.016824700562653738,0.020292757290203432,0.01629392427182468,0.012252894717317633,0.028455277704393267,0.014857625973692985,0.22138861914566735,0.04308208957206619,0.030080093283298658,0.03378474994221896,1535.8630002041436,1520.8106510253788,1547.3711050845543,1531.1017108355047,1535.8630002041436,1520.8106510253788,1547.3711050845543,1531.1017108355047,0.00631945711266086,0.001991293172026478,0.0019282992862343488,90.0,0.12620913153637647,0.7709580494219412,0.06392929473136257,-1.4348223356034369,2259.806951060705,0
1.62056368,1.689388,1.6849013999999998,1.6771758,0.11161764889504322,0.7676176036647134,0.74843931769922,0.7452716416813099,1.6244030104872373,1.8556046453919002,1.8436523913145884,1.8353061008997926,0.728,2.28,2.2399999999999998,2.2199999999999998,-0.04605171359391415,-0.010471468757422475,-0.0009350487701264762,-0.012549120334173219,2.544141656562925,1.5068877207978697,1.5059511385221724,1.480900093572123,1.2262966684619123,1.5197202739295907,1.5187244695316466,1.5147336995376703,1.0023691327496844,1.098388674118616,1.0942197515620729,1.094283676702104,1.2306689336268462,1.7705198791275019,1.7570479306063427,1.752721505441515,0.0,0.0,0.0,0.0,0.02731386705793643,0.006975938167883932,0.0008712337508841176,0.0014996067728126493,0.026350622491918194,0.017896642559868888,0.002332869359429457,0.03171052247251603,0.014323392883182932,0.011738454053592027,0.025896569329108648,0.016681335218201174,0.22101657017152979,0.03114334826846106,0.033346965538700084,0.032551290472191956,1502.755576687485,1521.2096233052064,1542.6629499964674,1530.474607990235,1502.755576687485,1521.2096233052064,1542.6629499964674,1530.474607990235,0.006126494983845352,0.002040362579768291,0.0021354524748382194,90.0,0.13028722693884448,0.7757557510145323,0.07250124151497124,0.490851517873383,2167.8995984913377,0
1.6209666400000005,1.6890674,1.6853634000000002,1.6767589999999999,0.1113819978592215,0.7683276451210165,0.7496007350185064,0.7456682559415996,1.6247888470321306,1.8556066533616438,1.8445462997713014,1.8350863445625658,0.704,2.28,2.2399999999999998,2.14,-0.05893047237812742,-0.010893633800060452,-0.005842625799248345,-0.01211692128222597,2.6001911225741217,1.5002584148470932,1.5278469140402036,1.4653530032393314,1.2161580279243043,1.5197186294257174,1.5179884616326311,1.4931177533518953,1.00235798007054,1.0985983468520224,1.0944501938106055,1.0944246278460803,1.2204744401710113,1.771078534919679,1.757194142939313,1.7279434378823497,0.0,0.0,0.0,0.0,0.026643100679739313,0.0070127795328113985,0.0009560099751029649,0.0128696730179032,0.018794082336097764,0.01879565320674421,0.013962424395525825,0.039418215481210835,0.016918768228375264,0.022470236501793212,0.03007715189137222,0.01326807736242593,0.21571751014070523,0.029142793394936854,0.04321223833142061,0.038807059096718985,1502.7759537195377,1523.896096010679,1543.0153952750225,1533.1949524827783,1502.7759537195377,1523.896096010679,1543.0153952750225,1533.1949524827783,0.006054576806396429,0.0020534991996974433,0.001958316583073031,90.0,0.13003962202311267,0.77615614690574,0.07716104574482778,0.9518699802080679,2160.312464205123,0
1.6208667200000002,1.6895862000000001,1.6856644,1.6779375999999997,0.11224258370354331,0.7675687101292109,0.7474472948460125,0.7446302186362453,1.624748387166456,1.8557648698043618,1.8439473766894758,1.8357420167332885,0.744,2.2399999999999998,2.2399999999999998,2.2399999999999998,-0.04486220443582341,-0.008886673292503023,-0.004581638239722669,-0.011893276053014957,2.5461760874600112,1.4808690123469082,1.5026865852179214,1.5137539054718447,1.2211121523007478,1.5088118357877855,1.518481511672513,1.5252687874860613,1.0023948095907946,1.098354656189996,1.093899459874383,1.094046653900174,1.2255132096426689,1.7573763625114474,1.7559317288093965,1.7645214030787062,0.0,0.0,0.0,0.0,0.027258690389448833,0.0069235371296232995,0.0009430988464869932,0.01653969869111114,0.028562539871193424,0.0172136110459464,0.014488351523371837,0.021359266403315286,0.015079879071554588,0.0056558350239451875,0.03529184444022621,0.01673742930851125,0.22098289192377943,0.03586059424626275,0.02890701065918028,0.03855183719575766,1505.2708831573489,1517.1075207933827,1547.8107836494669,1529.8980304385602,1505.2708831573489,1517.1075207933827,1547.8107836494669,1529.8980304385602,0.00605876122736716,0.0020440711378924706,0.0019943708678703746,90.0,0.13016331523467028,0.7744719051556229,0.07172623781634421,3.055789889721561,2187.142864696979,0
1.62077648,1.6891154000000002,1.6854256,1.6772168000000003,0.11032742523422588,0.7665851664901737,0.748548704403844,0.7448748927153751,1.624527173943237,1.854929554457527,1.844175863631232,1.8351824977369418,0.72,2.2399999999999998,2.2399999999999998,2.2199999999999998,-0.04887131555246552,-0.009330051159260526,0.0014565862532337171,-0.01216758807127868,2.4976683247196916,1.4732672991577638,1.5207845720867925,1.5032415233223693,1.226202941970365,1.5094912867560935,1.518293377122247,1.514835719841575,1.0023141339904174,1.0981662676555592,1.0941900156442574,1.0941832312536706,1.2304731152376822,1.7575695066641548,1.7565372843956044,1.7527448635673541,0.0,0.0,0.0,0.0,0.02718876274148056,0.00696686718687253,0.0009550777461351201,0.01640900431648372,0.021856245249566784,0.017326706816097222,0.0155311148873799,0.02677323220485702,0.014779927388974677,0.011106107090682505,0.03796883089757438,0.01716741514089174,0.21982568287058787,0.031711149790448645,0.03320986022701374,0.04203061682581156,1490.6749270009707,1520.5035814938592,1546.241792547951,1527.121500398442,1490.6749270009707,1520.5035814938592,1546.241792547951,1527.121500398442,0.005871948813679591,0.001998613578564675,0.001955015711630922,90.0,0.1298374990372957,0.7723577761313067,0.07583078598323954,2.0827499354382493,2191.498153599023,0
1.6207935200000003,1.6888289999999997,1.6856561999999997,1.6775786000000001,0.1102043429543903,0.7670327429509973,0.7487301111893374,0.7453603134202628,1.6245358203745461,1.8548538001686279,1.844460247335247,1.835710204798132,0.712,2.1999999999999997,2.26,2.1799999999999997,-0.04953476474135242,-0.009379830790574917,0.0015369324778865556,-0.012021285938875024,2.502423326825161,1.4698278536656226,1.5254325257041448,1.5022698159089731,1.2114229648357437,1.4987704150846095,1.5289025632697413,1.5035052879185304,1.0023089309824893,1.098307644035381,1.0942090370119644,1.0942618156896684,1.2156321981370346,1.745453877559813,1.768907667009895,1.7398434585839464,0.0,0.0,0.0,0.0,0.027060700110497736,0.006575188312544884,0.0009646105793232917,0.0189623593066118,0.01990708889598758,0.018178364781249484,0.018236104278023926,0.02797317332407388,0.013012049862379974,0.014312995362008994,0.04045285262504804,0.01855575397995315,0.21866443580726813,0.03218998109354416,0.034642807841212396,0.045376042325547705,1506.554597783836,1526.4695873406813,1550.3231383786522,1534.7215273838606,1506.554597783836,1526.4695873406813,1550.3231383786522,1534.7215273838606,0.005890702292315439,0.0020290221502150176,0.0019156686796111496,90.0,0.12978464016258853,0.772626300958102,0.0767509664725288,2.0832337512676284,2189.163892300334,0
1.62091464,1.6886064,1.6854383999999998,1.6771190000000002,0.11045583186808118,0.7661167129614963,0.7484871139875933,0.7446553456727341,1.6246737398505586,1.8542724697303794,1.8441625633332872,1.835004011984715,0.704,2.28,2.26,2.2199999999999998,-0.05120759290331944,-0.009806043909008395,-0.00026423176430294344,-0.012373543060984107,2.4545610511420777,1.490458967058652,1.4952639613716499,1.5108168835950226,1.2063960608979163,1.5208120953281705,1.529149358125406,1.5149830637117736,1.0023191226470498,1.0981081616949808,1.0941738145596347,1.0941406137457836,1.2106063647277279,1.7707713844151827,1.768863829224155,1.7528760510784747,0.0,0.0,0.0,0.0,0.027525997493000522,0.007065102742010722,0.0010022721247869087,0.013166504417561484,0.030085840174787118,0.01718406595587512,0.011012746325991793,0.022007179379671882,0.014815015729871324,0.0030918638886925577,0.031600402813396655,0.017047740461473913,0.2223601555437292,0.03577163578735708,0.0280540389101912,0.035362541313063024,1500.250241208133,1517.0425387722878,1550.2593092594918,1529.9357284281616,1500.250241208133,1517.0425387722878,1550.2593092594918,1529.9357284281616,0.006868902866033826,0.0019127302597253522,0.0019416448358353447,90.0,0.12939735388168092,0.7725754110970636,0.06975947731219068,-2.168745523200014,2198.1618706992367,0
1.62077848,1.6884679999999999,1.6852335999999999,1.6769646000000002,0.1099161602717797,0.7649207573179887,0.7478989032154183,0.7439998107168899,1.6245012907104752,1.8536525974410631,1.8437367100537971,1.8345969551920662,0.6719999999999999,2.28,2.26,2.2199999999999998,-0.044672142825796006,-0.010048760405684046,-0.0014385444561671953,-0.011786350529861678,2.4656407364194703,1.4954870160947764,1.5041636546980892,1.495587280928794,1.2015995377549336,1.5213206638034351,1.529502550240873,1.5153192051978295,1.0022969275298343,1.0978310500649484,1.0940540884384202,1.09399861821297,1.2057525617266784,1.770632185049175,1.7690423132849418,1.7527016722788822,0.0,0.0,0.0,0.0,0.027279252097873588,0.007045212926816482,0.0009977630867995422,0.006378758180849829,0.026341886986136955,0.017044105687216905,0.0044942586808064885,0.02685100142693518,0.015013194554905013,0.004410735613032187,0.03014120580807065,0.0166681079660575,0.22084896561737985,0.0314435361346644,0.029980980791215743,0.03422393421922087,1499.166705007593,1521.4525714785116,1548.8024736778248,1527.841580267162,1499.166705007593,1521.4525714785116,1548.8024736778248,1527.841580267162,0.006476246375433944,0.0020166880469771166,0.0019336528017156443,90.0,0.1291747561333916,0.7713261351157246,0.07182489749921377,0.8237397061072573,2190.3778516990687,0
